image,status,error,txt_path,translated,spoken_text,wav_path
(19).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(19).txt,True,"Di depan terlihat interior modern dengan tangga mengarah ke tingkat atas. Ada jendela di sisi kiri, yang memungkinkan cahaya alami masuk. Alat pemadam kebakaran terlihat dekat tangga. lantainya keramik, dan dindingnya dicat putih. Tidak ada bahaya secara langsung untuk tunanetra, tapi tangga bisa menimbulkan risiko jika tidak digunakan dengan hati-hati.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194852.wav
(2).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(2).txt,True,"Di depan terlihat seseorang berdiri di depan lift dengan tikar merah di depannya. Lift memiliki tanda terlihat itu adalah untuk orang cacat. Ada tong sampah di sebelah lift. Lantainya mengkilap dan bersih. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati dari tikar merah.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194915.wav
(20).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(20).txt,True,"Di depan ini terlihat pintu masuk gedung dengan papan rancangan lantai. Tanda ditempatkan di berdiri dan daftar lantai dari 1 sampai 12. Ada tempat sampah baja stainless di depan papan. lantainya keramik, dan ada tanaman di pot dekat pintu masuk. Area ini dinyalakan dengan lampu di atas. Tidak ada bahaya secara langsung untuk tunanetra, tetapi tanda harus jelas terlihat dan dapat diakses.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194949.wav
(21).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(21).txt,True,"Di depan ini terlihat area beraspal dengan kombinasi batu bata dan tekstur kerikil. Ada perkebunan beton dengan hijau dan hidran merah. Seseorang dengan seragam terlihat di latar belakang. Area ini tampaknya dijaga dengan baik, tapi tidak ada hambatan atau bahaya terlihat.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195021.wav
(22).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(22).txt,True,"Di depan terlihat bangunan biru kecil dengan atap, mungkin rumah penjaga atau gudang kecil. Hal ini terletak di area beraspal dengan beberapa hijau di latar belakang. Tanahnya basah, terlihat hujan baru-baru ini. Tidak ada bahaya secara langsung untuk tunanetra, tapi tanah basah bisa licin.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195053.wav
(23).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(23).txt,True,"Di depan terlihat kotak daur ulang hijau dengan kata ""Kleen"" di atasnya, ditempatkan di permukaan yang basah dan beraspal. Tempat sampah sebagian terbuka, mengungkapkan beberapa benda di dalam. Ada bangku kayu di samping tempat sampah. Latar belakang meliputi pagar logam dikorupsi dan beberapa hijau. Tanah tampak basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung untuk tunanetra, tetapi permukaan basah mungkin membuatnya licin.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195126.wav
(24).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(24).txt,True,"Di depan ini terlihat area tempat duduk sederhana dengan dua meja dan bangku. Ada ransel di salah satu meja. Area ini tampaknya menjadi ruang makan santai atau ruang pertemuan. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati dari ransel dan benda lainnya di meja.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195158.wav
(25).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(25).txt,True,"Di depan ini terlihat area tempat duduk modern yang sederhana dengan dua tabel tinggi dan bangku yang cocok. Meja memiliki lampu berwarna, mungkin batu, atas dan logam hitam frame. bangku memiliki desain yang sama. Lantai ditutupi dengan kecil, cahaya berwarna kerikil, dan ada jalan sempit terbuat dari kerikil yang sama mengarah ke pintu atau pintu masuk. Area ini tampak bersih dan dijaga dengan baik. Tidak ada bahaya secara langsung untuk tunanetra, karena tabel dan bangku jelas terlihat dan jalan secara baik didefinisikan.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195232.wav
(26).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(26).txt,True,"Di depan terlihat area tertutup dengan beberapa skuter yang diparkir. Tanah ini dilapisi dengan batu bata, dan area yang dicukur oleh atap. Tidak ada bahaya secara langsung untuk tunanetra, karena skuter jelas terlihat dan area terang.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195304.wav
(27).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(27).txt,True,"Di depan ini terlihat lokasi konstruksi dengan penghalang merah dan kerucut oranye. Ada juga tumpukan beton dan tumpukan batu bata. Area ini tampak basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati dan mengikuti pedoman keselamatan.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195336.wav
(28).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(28).txt,True,"Di depan terlihat jalan basah, beraspal dengan trotoar di sebelah kiri. Ada mobil diparkir di sebelah kanan jalan. Jalan tampaknya di tempat parkir atau area yang sama dengan beberapa pohon dan bangunan di latar belakang. Tanahnya basah, terlihat hujan baru-baru ini. Tidak ada hambatan atau bahaya yang terlihat yang menimbulkan bahaya bagi tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195409.wav
(29).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(29).txt,True,"Di depan terlihat lorong tertutup dengan pintu kayu sebagian terbuka. Ada sepeda motor diparkir di sisi kanan jalan raya. Area ini tampaknya luar ruangan, dengan beberapa hijau terlihat di latar belakang. Jalan setapak terbuat dari ubin bata, dan ada struktur logam di sebelah kiri. Pintunya ada tulisan. Tidak ada bahaya secara langsung untuk tunanetra, tetapi sebagian pintu terbuka bisa menimbulkan bahaya tersandung.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195443.wav
(3).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(3).txt,True,"Di depan terlihat luas, modern menunggu area dengan langit-langit tinggi, jendela besar, dan partisi kaca. Ada beberapa kursi kosong diatur berturut-turut, dan seseorang duduk di salah satu dari mereka. Lantai ini mengkilap dan reflektif, dan area ini terang dengan pencahayaan direset. Tidak ada bahaya yang terlihat atau hambatan yang menimbulkan bahaya bagi tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195508.wav
(30).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(30).txt,True,"Di depan ini terlihat kebun yang dijaga dengan baik dengan jalur menuju ke gedung. Ada pohon, semak-semak, dan bunga. Seseorang berjalan di belakang. Ada keran air di jalan. Area ini terlihat aman untuk orang yang mengalami gangguan penglihatan, tapi mereka harus berhati-hati terhadap sumber air.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195540.wav
(31).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(31).txt,True,"Di depan terlihat seseorang berjalan menyusuri lorong yang panjang dan terang dengan pintu kaca di kedua sisi. Lorong memiliki penampilan, bersih modern dengan dinding putih dan lantai mengkilap. Tidak ada tanda-tanda bahaya atau hambatan untuk tunanetra. Orang itu berjalan menjauh dari kamera, dan lorong meluas ke kejauhan.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195612.wav
(32).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(32).txt,True,"Di depan terlihat tangga dengan tangga hitam dan putih. Ada pegangan di sisi kiri. Dinding putih, dan ada jendela di atas tangga. tangga terlihat dengan jelas, dan desain keseluruhan modern dan bersih. Tidak ada bahaya bagi orang-tunanetra karena tangga terlihat dengan jelas dan pegangan tangan terlihat.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195644.wav
(33).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(33).txt,True,"Di depan terlihat lorong dengan seseorang berjalan menjauh dari kamera. Ada alat pemadam kebakaran dipasang di dinding di sisi kiri lorong. lantainya keramik, dan dindingnya dicat putih. Langit-langit memiliki beberapa lampu ditarik kembali. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati dari pemadam api dan mempertahankan jarak yang aman dari itu.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195716.wav
(34).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(34).txt,True,"Di depan terlihat lift dengan menyelesaikan logam dan tikar merah di pangkalan. Pintu lift tertutup, dan ada panel kontrol dengan tombol dan layar digital. Lantainya penuh dengan ubin gelap, dan ada tong sampah di sebelah lift. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati ketika mendekati lift untuk menghindari tersandung tikar.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195750.wav
(35).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(35).txt,True,"Di depan terlihat pintu kantor modern dengan pintu kaca dan bingkai hitam. Ada alat pemadam kebakaran dipasang di dinding ke kiri pintu. Lantainya dilapisi dengan kombinasi ubin hitam putih. Ruang tampak bersih dan dijaga dengan baik. Tidak ada bahaya secara langsung untuk tunanetra, karena pintu terbuka dan pemadam kebakaran jelas terlihat.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195822.wav
(36).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(36).txt,True,"Di depan terlihat lorong dengan alat pemadam kebakaran dipasang di dinding. Ada tanda peringatan kuning di lantai dekat pintu, terlihat lantai basah. Lorong memiliki beberapa kursi dan pintu di akhir. Lantai tampak basah, yang bisa menimbulkan bahaya slip untuk tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195855.wav
(37).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(37).txt,True,"Di depan ini terlihat lorong yang panjang dan kosong dengan partisi kaca di sebelah kiri dan deretan kursi logam di sebelah kanan. lantainya keramik, dan dindingnya terbuka dengan beberapa jendela kecil. Ada alarm kebakaran merah di dinding. Lorong ini tampak terang dengan lampu langit-langit yang ditutup. Tidak ada bahaya secara langsung untuk tunanetra, tapi kursi diatur dengan cara yang mungkin menyebabkan bahaya tersandung.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_195929.wav
(38).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(38).txt,True,"Di depan terlihat tangga dengan pegangan logam di sisi kanan. lantainya keramik dengan pola berwarna terang. Ada beberapa orang di latar belakang, tetapi mereka tidak terlihat jelas. Area ini tampaknya dalam ruangan, mungkin di gedung umum atau kantor. Tidak ada bahaya secara langsung untuk tunanetra, karena pegangan tangan terlihat dan tangga terlihat dengan jelas.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200003.wav
(39).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(39).txt,True,"Di depan ini terlihat jalur beraspal dengan pola tulang herring, diapit oleh pohon dan hijau. Ada pot tanaman dan tempat sampah kuning di sisi kiri. Tanah tampak basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung bagi orang-tunanetra, karena jalan terlihat dengan jelas dan tidak ada hambatan.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200034.wav
(4).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(4).txt,True,"Di depan terlihat lorong dengan pemadam api merah dipasang di dinding. Ada tanda hati-hati di lantai terlihat lantai basah. Lantai tampak basah, dan ada tikar merah di depan pintu. Tidak ada bahaya secara langsung untuk tunanetra, tetapi tanda lantai basah penting untuk keselamatan.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200055.wav
(40).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(40).txt,True,"Di depan ini terlihat jalur aspal dengan kecil, bulat, pot batu di tengah. Jalur ini berbatasan dengan tepi batu, dan ada pohon dan hijau di kedua sisi. Tanahnya basah, mungkin dari hujan baru-baru ini. Tidak ada hambatan atau bahaya terlihat dalam gambar.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200122.wav
(41).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(41).txt,True,"Di depan ini terlihat area luar modern dengan lorong tertutup. Ada pagar logam di kedua sisi jalan raya, menyediakan keselamatan. Tanah ini dilapisi dengan ubin besar berwarna terang. Ada beberapa meja dan kursi di latar belakang, menyarankan area tempat duduk. Area ini tampaknya dijaga dengan baik dan aman untuk orang-tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200150.wav
(42).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(42).txt,True,"Di depan ini terlihat area basah dan beraspal dengan dua kerucut oranye diletakkan di tanah. Ada pohon dan bangunan di latar belakang. Permukaan basah dan kehadiran kerucut terlihat bahwa area mungkin di bawah konstruksi atau sementara ditutup. tunanetra harus berhati-hati dari kondisi basah dan licin, serta potensi untuk hambatan tersembunyi atau puing-puing.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200217.wav
(43).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(43).txt,True,"Di depan terlihat modern, ruang makan terbuka-udara dengan tabel dan bangku. Lantai ditutupi dengan kecil, kerikil putih, dan area ini terang dengan lampu gantung. Tidak ada bahaya yang terlihat untuk orang-tunanetra, karena ruang terlihat dengan jelas dan tabel yang berjarak merata.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200245.wav
(44).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(44).txt,True,"Di depan ini terlihat jalan yang basah, berlumpur dengan genangan air dan puing-puing tersebar. Ada pohon dan bangunan di latar belakang. Jalannya tampak tidak rata dan berpotensi licin, yang bisa menimbulkan risiko bagi tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200312.wav
(45).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(45).txt,True,"Di depan ini terlihat satu set tangga dengan pagar logam. Tangganya hitam dan memiliki desain modern. Ada tanda di dinding di sebelah kiri tangga. Lantainya diikatkan dengan ubin putih. Tidak ada bahaya secara langsung untuk tunanetra, karena tangga terlihat dengan jelas dan pagar yang terlihat.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200339.wav
(46).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(46).txt,True,Di depan ini terlihat seseorang mengambil foto di sebuah taman seperti latar dengan jalan beraspal dan hijau. Tidak ada bahaya secara langsung untuk tunanetra dalam gambar ini.,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200405.wav
(47).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(47).txt,True,"Di depan ini terlihat seseorang berdiri di atas papan kayu yang sebagian terendam dalam air. Papan diletakkan di atas celah kecil di trotoar. Ada hidran api merah di dekat sini. Area ini tampaknya taman atau taman dengan hijau dan pohon-pohon. Airnya dangkal dan orang tampaknya menyeimbangkan papan. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati dari air dan papan kayu.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200433.wav
(48).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(48).txt,True,"Di depan ini terlihat kantor yang sibuk atau laboratorium dengan beberapa orang yang bekerja di meja dengan laptop. Ada kursi biru dan beberapa poster di dinding. lantainya keramik, dan ada beberapa alat elektronik dan peralatan di latar belakang. Pencahayaannya tampak terang. Tidak ada bahaya secara langsung bagi orang-tunanetra, tetapi mereka mungkin perlu menggunakan teknologi bantu atau meminta bantuan untuk menavigasi ruang.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200455.wav
(49).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(49).txt,True,"Di depan ini terlihat ruang kerja dengan dua orang duduk di meja. Ada berbagai benda di meja, termasuk monitor komputer, keyboard, dan beberapa benda kecil lainnya. Ruangan ini tampak seperti kantor biasa atau ruang belajar. Tidak ada bahaya secara langsung untuk tunanetra dalam gambar ini.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200516.wav
(5).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(5).txt,True,"Di depan terlihat modern, well- cahaya area penerimaan dengan ramping, counter putih. Lantainya mengkilap dan reflektif, dan ada jendela besar di latar belakang. Tidak ada tanda-tanda bahaya atau hambatan untuk tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200539.wav
(50).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(50).txt,True,"Di depan terlihat kamar mandi dengan wastafel, cermin, dan beberapa toilet di meja. Ada cermin di dinding dan pintu ke kiri. Kamar mandi terlihat bersih dan teratur. Tidak ada bahaya secara langsung untuk tunanetra, tapi pintu sedikit terbuka, yang bisa menimbulkan bahaya tersandung.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200601.wav
(6).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(6).txt,True,"Di depan ini terlihat dua orang berjalan di bawah lorong tertutup. Jalan setapak memiliki pola garis hitam dan putih pada kolom. Tanah ini dilapisi dengan ubin putih, dan ada kerikil kecil di sisinya. Jalan setapak dikelilingi oleh Greenery, termasuk pohon dan semak-semak. Tidak ada bahaya yang terlihat bagi orang-tunanetra, karena jalan setapak yang menyala dan kolom terlihat dengan jelas.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200622.wav
(7).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(7).txt,True,"Di depan terlihat jalan yang basah, miring dengan tanda kuning hati-hati terlihat lantai basah. Ada orang berjalan di latar belakang. Area ini tampaknya luar ruangan, dengan hijau dan jalan setapak tertutup. Lantai basah bisa menimbulkan risiko tergelincir bagi individu tunanetra.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200642.wav
(8).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(8).txt,True,"Di depan ini terlihat pintu masuk bangunan dengan tanda besar yang bertuliskan ""GK FILM"". Pintu masuk ditandai oleh pohon dan area beraspal dengan daun tersebar. Tidak ada tanda-tanda bahaya secara langsung untuk tunanetra, karena pintu masuk terlihat dengan jelas dan area terang.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_200702.wav
